459,Juju,93.3
460,Passenger,93.3
461,LP,93.1
462,Meek Mill,92.8
463,PLK,92.6
464,Kings of Leon,92.3
465,George Michael,91.9
466,ATYPISK,91.9
467,Gzuz,91.9
468,James Arthur,91.9
469,Erkin Koray,91.6
470,kizaru,91.4
471,Summer Cem,91.2
472,Celine Dion,90.2
473,The Police,90.1
474,Anne-Marie,89.9
475,DJ Chetas,89.4
476,Dadá Boladão,89.4
477,Lijo George,89.3
478,Coez,89.3
479,Matheus & Kauan,89
480,星野源,88.7
481,Артур Пирожков,88.1
482,Demi Lovato,88.1
483,John Williams,87.9
484,B Praak,87.8
485,Anavitória,87.6
486,Hillsong UNITED,87.4
487,Felipe Original,87.4
488,Davido,87.3
489,Rod Stewart,87.2
490,Sezen Aksu,86.9
491,YOUNOTUS,86.7
492,J-Ax,86.7
493,Jessi Uribe,86.6
494,Radiohead,86.5
495,Hecht,86.2
496,back number,86.2
497,Enes Batur,86.1
498,Elaine,86.1
499,Rick Ross,86
500,Mark Ronson,85.7
501,NLE Choppa,85
502,Maxwell,84.9
503,Jorja Smith,84.5
504,高爾宣 OSN,84.5
505,Mithoon,84
506,Luan Santana,83.8
507,麥浚龍,83.7
508,Michael Kiwanuka,83.6
509,Clara Luciani,83.5
510,21 Savage,83.5
511,Gustavo Mioto,83.5
512,Matisse,83.5
513,Loud Luxury,83.4
514,Djadja,83.3
515,Dinaz,83.3
516,Foo Fighters,83.2
517,Disturbed,83
518,Kim Loaiza,82.9
519,עומר אדם,82.7
520,Bring Me The Horizon,82.7
521,Banda Sinaloense MS de Sergio Lizárraga,82.6
522,Asees Kaur,82.1
523,王一博,82.1
524,Тима Белорусских,82
525,December Avenue,81.6
526,Little Big,81.5
527,Dímelo Flow,81.2
528,Die drei !!!,81.1
529,Victor Cárdenas,81
530,Bugsey,81
531,Young T,81
532,宇多田ヒカル,80.8
533,Drax Project,80.6
534,Nathan Carter,80.4
535,Red Hot Chili Peppers,79.9
536,Mustafa Ceceli,79.9
537,Victor Hugo,79.9
538,Diljit Dosanjh,79.7
539,Mina,79.5
540,RASA,79.4
541,ヨルシカ,78.8
542,Lazza,78.8
543,Oasis,78.7
544,Kensington,78.6
545,Sarah Geronimo,78.6
546,Miss Li,78.5
547,孫燕姿,78.3
548,Wiz Khalifa,78.1
549,Enrique Iglesias,78
550,Namie Amuro,77.8
551,Alok,77.8
552,Pablo Alborán,77.3
553,Amaal Mallik,77.3
554,Tony Kakkar,77.3
555,Sub Urban,77.2
556,Nickelback,77.2
557,Pizzera,77.2
558,Jaus,77.2
559,Brett Kissel,77.1
560,Akhil Sachdeva,77.1
561,Natanael Cano,77
562,鄭秀文,76.8
563,Achille Lauro,76.8
564,Einár,76.3
565,HONNE,76.3
566,Shindy,76.3
567,Баста,76.3
568,Offset,76.1
569,Tarkan,76
570,Chris Stapleton,75.9
571,Mumford & Sons,75.4
572,Sid Sriram,75.2
573,Bushido,75.1
574,Chencho,75.1
575,Juhn La Meta,75.1
576,Tim Bendzko,75
577,Wizkid,74.7
578,LOVRA,74.6
579,Markus Gardeweg,74.6
580,TIX,74.5
581,BiSH,74.4
582,Becky G,74.3
583,"Original Broadway Cast of ""Hamilton""",74.1
584,湯瑪仕與眾香港人,73.6
585,Novelbright,73.4
586,Alec Benjamin,73.3
587,JJ Lin,73.1
588,Idaly,73
589,Sohail Sen,72.9
590,Joel Corry,72.8
591,Meghan Trainor,72.7
592,Vishal Dadlani,72.5
593,Егор Крид,72.5
594,Olivia Rodrigo,72.4
595,KEVVO,72.4
596,Melendi,72.4
597,Lennox,72.2
598,Jah Khalib,71.6
599,Tommaso Paradiso,71.5
600,WOS,71.5
601,Parampara Thakur,71.2
602,"Calvin Harris, Rag’n’Bone Man",71.1
603,Imanbek,71
604,Future,71
605,Melanie Martinez,70.9
606,Dimitri Vegas,70.7
607,Like Mike,70.7
608,Emir Can İğrek,70.6
609,Bee Gees,70.6
610,Pabllo Vittar,70.6
611,Adriana Proenza,70.6
612,Merve Özbey,70.5
613,Jubin Nautiyal,70.5
614,Madonna,70.4
615,Five Finger Death Punch,70.4
616,Brenda Lee,70.4
617,MC JottaPê,70.3
618,Amr Diab,70.3
619,Tuğçe Kandemir,70.1
620,Helene Fischer,70.1
621,Prateek Kuhad,69.8
622,Lomepal,69.8
623,Amit Trivedi,69.7
624,Dolly Parton,69.7
625,The Killers,69.7
626,Sofi Tukker,69.5
627,Naza,69.5
628,Harrdy Sandhu,69.4
629,Fiersa Besari,69.3
630,Dani Mocanu,69.3
631,Bebe Rexha,69.2
632,OneRepublic,69.1
633,Die Toten Hosen,69.1
634,JVG,69.1
635,Daniela Alfinito,69.1
636,Vikki Leigh,69
637,Macklemore & Ryan Lewis,68.9
638,Amy Winehouse,68.8
639,Norah Jones,68.8
640,TAEYEON,68.6
641,Gavin D,68.5
642,Master KG,68.4
643,Moira Dela Torre,68.2
644,Patron,68.2
645,Giulia Be,68.1
646,Neil Young,68.1
647,U2,67.8
648,Ami Faku,67.8
649,Johannes Oerding,67.8
650,Sam Hunt,67.4
651,Patent Ochsner,67.4
652,Би-2,67.3
653,Billy Joel,67.3
654,Animus,67.2
655,Yasser Desai,67.2
656,Simply Red,67.2
657,French Montana,67.2
658,Super Yei,67.1
659,Diplo,67.1
660,Kendrick Lamar,67
661,Justin Timberlake,66.7
662,Moneybagg Yo,66.7
663,Headie One,66.6
664,Shakin' Stevens,66.5
665,Jean-Louis Aubert,66.3
666,Lo,66.2
667,Leduc,66.2
668,Juhn,66.1
669,Old Dominion,66.1
670,JS o Mão de Ouro,65.9
671,Carlos Vives,65.8
672,Ella Mai,65.8
673,Tina Dico,65.8
674,Omer Adam,65.5
675,Juan Magán,65.4
676,Garry Sandhu,65.4
677,Demi Lee Moore,65.3
678,LOLO,65.3
679,NOAH,65.2
680,阿冗,65.2
681,Ivano Fossati,65.2
682,Larry,65.1
683,大懶堂,65.1
684,Appel,65.1
685,Yash Narvekar,64.9
686,twenty one pilots,64.8
687,Hef,64.8
688,Alex Rose,64.4
689,Carla Morrison,64.4
690,Duki,64.4
691,Brytiago,64.3
692,Random,64.2
693,Christina Perri,64.2
694,Lin Hai,64.2
695,Luísa Sonza,64.1
696,Globi,64.1
697,Feest DJ Lucki Luc,64
698,CLMD,63.9
699,IZA,63.9
700,J Hus,63.8
701,Cem Adrian,63.8
702,Marco Mengoni,63.7
703,Lucio Battisti,63.7
704,Макс Корж,63.6
705,MFR Souls,63.6
706,Léo Santana,63.5
707,Damso,63.4
708,PARTYNEXTDOOR,63.4
709,Sadko,63.3
710,Mads Langer,63.2
711,Roxette,63.2
712,Don Patricio,63
713,Shilpa Rao,63
714,Duncan Laurence,62.8
715,Wesley Safadão,62.6
716,Sigvart Dagsland,62.4
717,Kesi,62.2
718,En,62.2
719,Juanes,62.2
720,Kianush,62.1
721,Luis Fonsi,62.1
722,Geolier,62
723,Bart Peeters,61.9
724,Adel Tawil,61.8
725,Molly Sandén,61.8
726,Sheila On 7,61.6
727,小賈斯汀,61.4
728,47ter,61.3
729,Florin Salam,61.1
730,Kelly Ruiz,61.1
731,Hindia,61
732,Slipknot,61
733,魔力紅樂團,60.7
734,R3HAB,60.7
735,Natalia Lafourcade,60.4
736,Felix Jaehn,60.3
737,Sidemen,60.3
738,Sigala,60.2
739,Davichi,60
740,Roland Kaiser,60
741,Johnny Hallyday,60
742,Rita Ora,60
743,Bodyslam,59.9
744,林俊傑,59.8
745,Johnny Cash,59.7
746,Intense,59.7
747,Cali y El Dandee,59.6
748,VICTON,59.6
749,蔡依林,59.6
750,Seiler und Speer,59.4
751,Roddy Rich,59.4
752,Ferrugem,59.4
753,MISIA,59.3
754,The TOYS,59.3
755,Jasmine Sandlas,59.3
756,Norm Ender,59.1
757,Azet,59
758,Quavo,58.9
759,Nik Makino,58.8
760,Elisa,58.7
761,AJ Tracey,58.7
762,Bazzi,58.6
763,Kehlani,58.6
764,Sabrina Carpenter,58.4
765,Miyagi,58.2
766,Tayc,58.2
767,Josylvio,58.1
768,Leonardo,58.1
769,Lady Antebellum,58.1
770,Mecano,58
771,Hava,57.9
772,Noriel,57.9
773,Isyana Sarasvati,57.8
774,Rochak Kohli,57.8
775,Alfa,57.7
776,Foorin,57.7
777,Jonas Blue,57.6
778,Mas Musiq,57.4
779,G-DRAGON,57.4
780,Magnus Haven,57.4
781,Hozier,57.2
782,Мэвл,57.2
783,Dilsinho,57.1
784,Astrid S,57.1
785,Mc Poze do Rodo,57
786,Jon Z,57
787,Damas Gratis,56.8
788,B. Praak,56.7
789,JPCC Worship,56.6
790,Guaynaa,56.6
791,Cassper Nyovest,56.6
792,Liam Gallagher,56.5
793,Tame Impala,56.4
794,H.E.R.,56.4
795,Guru Randhawa,56.3
796,Semi Tee,56.2
797,Tulus,56.2
798,NIKI,56.1
799,Cesare Cremonini,55.9
800,Massimo Pericolo,55.7
801,Rvssian,55.5
802,Highasakite,55.5
803,MACHETE,55.5
804,Espinoza Paz,55.5
805,MC Kevin o Chris,55.5
806,椎名林檎,55.4
807,菅田将暉,55.4
808,Kristen Bell,55.3
809,Glee Cast,55.2
810,Bobby Helms,55.2
811,Rolf Sanchez,55.1
812,The Greatest Showman Ensemble,55
813,Carlos Rivera,54.8
814,104,54.8
815,Lyanno,54.8
816,DJ Luian,54.7
817,Keala Settle,54.6
818,Zedd,54.6
819,周興哲,54.6
820,Ricardo Arjona,54.5
821,Alejandro Fernández,54.4
822,Les Cowboys Fringants,54.4
823,Usher,54.4
824,Gemitaiz,54.3
825,Yeison Jimenez,54.2
826,Crosby,54.1
827,Nash,54.1
828,Stills,54.1
829,Janieck,54.1
830,Senex,54.1
831,Capo,53.9
832,Matute,53.8
833,Кино,53.7
834,QwestaKufet,53.6
835,The xx,53.6
836,L.O.C.,53.6
837,Emma,53.5
838,Robbie Williams,53.4
839,Maren Morris,53.4
840,WANYAI,53.3
841,Walking On Cars,53.1
842,MamboLosco,52.7
843,Alex Roeka,52.7
844,INXS,52.6
845,Vitão,52.6
846,MERO,52.5
847,Mangoo,52.3
848,Greekazo,52.3
849,Florence + the Machine,52.3
850,Kris Kross Amsterdam,52.2
851,Z.E,52.2
852,Ozzy Osbourne,52.1
853,The Limba,52.1
854,DJ Maphorisa x Kabza De Small,52
855,Joji,51.9
856,David Bowie,51.9
857,Ольга Бузова,51.9
858,Karan Aujla,51.8
859,The Lumineers,51.7
860,Jass Manak,51.6
861,Skusta Clee,51.5
862,DJ Khaled,51.5
863,Stubete Gäng,51.5
864,John C,51.4
865,Simon & Garfunkel,51.4
866,José Feliciano,51.4
867,Young,51.3
868,Jeremy Zucker,51.3
869,Flume,51.2
870,Fazil Say,51
871,Buray,51
872,MKDMSK,50.8
873,Leto,50.8
874,Juan Gabriel,50.7
875,Jessica Mauboy,50.6
876,Zezé Di Camargo,50.6
877,Guilherme,50.5
878,Yüzyüzeyken Konuşuruz,50.5
879,Charlie Charles,50.5
880,Broederliefde,50.4
881,Milky Chance,50.4
882,Max Giesinger,50.3
883,Sıla,50.3
884,MC Rebecca,50.3
885,Max Raabe,50.2
886,Дима Билан,50.1
887,Fat Freddy's Drop,50.1
888,Palast Orchester,50.1
889,YUNGBLUD,50.1
890,Indigo,50
891,Lil Mosey,49.8
892,Lil Durk,49.8
893,Chimbala,49.7
894,Vishal Mishra,49.6
895,LOTTE,49.6
896,MIST,49.3
897,Dewa 19,49.3
898,Van Morrison,49.3
899,Benuto,49.1
900,Rafa Pabön,49
901,Rozz Kalliope,49
902,ビリー・アイリッシュ,48.9
903,Pharrell,48.9
904,Jonathan Groff,48.8
905,Why Don't We,48.8
906,Annika Aakjær,48.7
907,Clean Bandit,48.7
908,WayV,48.6
909,The Box Tops,48.6
910,Ayla Çelik,48.6
911,Khea,48.5
912,Sean Paul,48.4
913,Oik,48.1
914,Guy Sebastian,48
915,MC Du Black,48
916,Disney - Die Eiskönigin,47.9
917,Pamungkas,47.9
918,Chris Jeday,47.9
919,Gettomasa,47.9
920,Zoé,47.8
921,Gaby Music,47.8
922,Labrinth,47.7
